quarter,as_on_date,symbol,company,sector,universe,fii_pct,dii_pct,source,updated_at
2026Q1,31-MAR-2026,PAGEIND,Page Industries Limited,Textiles,Midcap,19.0,33.21,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1651571_15042026060023_WEB.xml,2026-06-04T17:27:08+00:00
2026Q1,31-MAR-2026,PATANJALI,Patanjali Foods Limited,FMCG,Midcap,9.2,12.06,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653907_18042026114456_WEB.xml,2026-06-04T17:27:14+00:00
2026Q1,31-MAR-2026,PAYTM,One 97 Communications Limited,Financial Services,Midcap,49.4,23.08,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1650570_14042026032846_WEB.xml,2026-06-04T17:27:19+00:00
2026Q1,31-MAR-2026,PERSISTENT,Persistent Systems Limited,IT,Midcap,22.12,30.48,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652714_16042026081425_WEB.xml,2026-06-04T17:27:30+00:00
2026Q1,31-MAR-2026,PETRONET,Petronet LNG Limited,Oil & Gas,Midcap,27.12,12.93,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653088_17042026032025_WEB.xml,2026-06-04T17:27:36+00:00
2026Q1,31-MAR-2026,PFC,Power Finance Corporation Limited,Financial Services,Nifty Next 50,19.64,15.05,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1656255_21042026040445_WEB.xml,2026-05-22T16:54:35+00:00
2026Q1,31-MAR-2026,PHOENIXLTD,The Phoenix Mills Limited,Realty,Midcap,32.97,16.15,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1651365_15042026040508_WEB.xml,2026-06-04T17:27:41+00:00
2026Q1,31-MAR-2026,PIDILITIND,Pidilite Industries Limited,Chemicals,Nifty Next 50,11.75,9.64,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653375_17042026053100_WEB.xml,2026-05-22T16:54:43+00:00
2026Q1,31-MAR-2026,PIIND,PI Industries Limited,Chemicals,Midcap,15.87,31.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655439_20042026064902_WEB.xml,2026-06-04T17:27:47+00:00
2026Q1,31-MAR-2026,PNB,Punjab National Bank,Banking,Midcap,6.39,16.05,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653671_17042026072129_WEB.xml,2026-06-04T17:27:52+00:00
2026Q1,31-MAR-2026,POLICYBZR,PB Fintech Limited,Financial Services,Midcap,39.94,36.73,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1656670_21042026070814_WEB.xml,2026-06-04T17:27:57+00:00
2026Q1,31-MAR-2026,POLYCAB,Polycab India Limited,Consumer Durables,Midcap,18.21,7.96,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1654385_18042026071959_WEB.xml,2026-06-04T17:28:02+00:00
2026Q1,31-MAR-2026,POWERGRID,Power Grid Corporation of India Limited,Power,Nifty 50,25.03,20.13,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652082_16042026023752_WEB.xml,2026-05-22T17:01:25+00:00
2026Q1,31-MAR-2026,PRESTIGE,Prestige Estates Projects Limited,Realty,Midcap,14.2,22.59,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652201_16042026035421_WEB.xml,2026-06-04T17:28:08+00:00
2026Q1,31-MAR-2026,RECLTD,REC Limited,Financial Services,Nifty Next 50,15.79,16.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652160_16042026032934_WEB.xml,2026-05-22T16:54:51+00:00
2026Q1,31-MAR-2026,RELIANCE,Reliance Industries Limited,Conglomerate,Nifty 50,18.67,20.55,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655961_21042026012504_WEB.xml,2026-05-22T17:01:33+00:00
2026Q1,31-MAR-2026,RVNL,Rail Vikas Nigam Limited,Infrastructure,Midcap,4.86,6.42,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652990_17042026013727_WEB.xml,2026-06-04T17:28:14+00:00
2026Q1,31-MAR-2026,SAIL,Steel Authority of India Limited,Metals,Midcap,5.01,18.41,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655023_20042026042310_WEB.xml,2026-06-04T17:28:20+00:00
2026Q1,31-MAR-2026,SBICARD,SBI Cards and Payment Services Limited,Financial Services,Nifty Next 50,9.54,18.12,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653306_17042026045859_WEB.xml,2026-05-22T16:54:59+00:00
2026Q1,31-MAR-2026,SBILIFE,SBI Life Insurance Company Limited,Insurance,Nifty 50,21.51,19.13,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652766_16042026101608_WEB.xml,2026-05-22T17:01:42+00:00
2026Q1,31-MAR-2026,SBIN,State Bank of India,Banking,Nifty 50,11.41,26.24,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653984_18042026011837_WEB.xml,2026-05-22T17:01:50+00:00
2026Q1,31-MAR-2026,SHREECEM,SHREE CEMENT LIMITED,Cement,Nifty Next 50,8.93,16.03,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1647364_08042026041157_WEB.xml,2026-05-22T16:55:07+00:00
2026Q1,31-MAR-2026,SHRIRAMFIN,Shriram Finance Limited,Financial Services,Nifty Next 50,45.15,23.29,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653167_17042026040441_WEB.xml,2026-05-22T16:55:15+00:00
2026Q1,31-MAR-2026,SIEMENS,Siemens Limited,Capital Goods,Nifty Next 50,6.8,8.59,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1655715_21042026105109_WEB.xml,2026-05-22T16:55:23+00:00
2026Q1,31-MAR-2026,SOLARINDS,Solar Industries India Limited,Chemicals,Midcap,6.6,12.9,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1648997_10042026060327_WEB.xml,2026-06-04T17:28:25+00:00
2026Q1,31-MAR-2026,SONACOMS,Sona BLW Precision Forgings Limited,Auto,Midcap,23.7,41.46,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1659262_27042026025658_WEB.xml,2026-06-04T17:28:31+00:00
2026Q1,31-MAR-2026,SRF,SRF Limited,Chemicals,Midcap,16.66,21.17,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1652509_16042026060518_WEB.xml,2026-06-04T17:28:37+00:00
2026Q1,31-MAR-2026,SUNDARMFIN,Sundaram Finance Limited,Financial Services,Midcap,18.97,7.69,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1679229_03062026045425_WEB.xml,2026-06-04T17:28:43+00:00
2026Q1,31-MAR-2026,SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharma,Nifty 50,15.93,21.11,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1653690_17042026073413_WEB.xml,2026-05-22T17:01:59+00:00
